"State","County","City","latitude","longitude","organization_name","Website","service_category","Notes","prison_rate","prison_population","population","total_prison_releases_2016","total_jail_releases_2013","state_unemployment_rate","state_unemployment_rank"
"Arkansas","","",34.2,-91.9,"EforAll","https://eforall.org/about/ ","","(DRK Economic Mobility grantee)
Economic Mobility EforAll believes that the best way to revitalize mid-sized U.S. cities that have fallen into decline, and thus suffered related high rates of poverty and unemployment, is to fuel the dreams and ambitions of entrepreneurs who live in and near these cities.",0.58,17713,3033946,28900,189343,4.2,19
"California","","",33.97,-118.25,"Root and Rebound","https://www.rootandrebound.org/","","",0.31,122417,39613493,36014,918135,7.5,50
"Colorado","","",39.74,-104.86,"Colorado Enterprise Zone, CDFI","https://coloradoenterprisefund.org/","","It’s also important to note that we were the first lending institution in Colorado to be certified by the U.S. Department of the Treasury as a Community Development Financial Institution (CDFI). This certification allows us to receive CDFI funds awarded nationwide to responsible financial institutions like CEF that serve economically distressed communities and empower underserved people to enter the economic mainstream. We are a non-profit lending institution that offers loans to small businesses unable to get traditional bank financing. For over 40 years, we’ve been helping people realize their dreams of starting and growing their own businesses. We invest more than just money in our borrowers. We provide them with one-on-one business training and coaching to help them succeed.",0.34,19785,5893634,9045,185884,5.9,35
"Georgia","","",33.77,-84.26,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.5,54113,10830007,16846,472237,3.5,9
"Idaho","","",42.9,-112.4,"Recidiviz","https://www.recidiviz.org/","","Our mission at Recidiviz is to accelerate progress towards a smaller, fairer criminal justice system. We use modern data infrastructure and thoughtful product design to empower agencies to safely and sustainably improve outcomes for Clementine Jacoby, the founder of Recidiviz, explains, “50 states, 18,000 police departments, 16,000 courts, and 7,000 prisons and jails… each collects its own data, resulting in thousands of different databases, and none of them talk to each other.” These systemic communication and organizational issues not only have a negative impact on the institutions themselves, but the incarcerated individuals seeking to improve their circumstances. Recidiviz sees these issues as ones which technology can play a vital role in solving. Jacoby describes, “(Corrections directors) don’t have the information they need to confidently chart a course forward or to see which of their efforts are or aren’t working.”people.",0.46,8571,1860123,4335,50384,2.9,3
"Maryland","","",38.6,-76.9,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.3,18476,6065436,8920,161201,5.9,35
"Michigan","","",42.64,-82.58,"Recidiviz","https://www.recidiviz.org/","","Our mission at Recidiviz is to accelerate progress towards a smaller, fairer criminal justice system. We use modern data infrastructure and thoughtful product design to empower agencies to safely and sustainably improve outcomes for Clementine Jacoby, the founder of Recidiviz, explains, “50 states, 18,000 police departments, 16,000 courts, and 7,000 prisons and jails… each collects its own data, resulting in thousands of different databases, and none of them talk to each other.” These systemic communication and organizational issues not only have a negative impact on the institutions themselves, but the incarcerated individuals seeking to improve their circumstances. Recidiviz sees these issues as ones which technology can play a vital role in solving. Jacoby describes, “(Corrections directors) don’t have the information they need to confidently chart a course forward or to see which of their efforts are or aren’t working.”people.",0.38,38053,9992427,11280,294992,4.7,24
"Missouri","","",38.64,-90.66,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.42,26038,6169038,18978,231724,4,15
"Montana","","",45.5,-109.6,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.44,4723,1085004,1176,38973,3.5,9
"North Carolina","","",35.9,-80.4,"UpTrust","https://uptrust.co/impact/","","The largest communication platform dedicated to connecting communities and keeping people out of jail.",0.31,33042,10701022,20276,416593,4.3,21
"North Dakota","","",46.3,-96.7,"Recidiviz","https://www.recidiviz.org/","","Our mission at Recidiviz is to accelerate progress towards a smaller, fairer criminal justice system. We use modern data infrastructure and thoughtful product design to empower agencies to safely and sustainably improve outcomes for Clementine Jacoby, the founder of Recidiviz, explains, “50 states, 18,000 police departments, 16,000 courts, and 7,000 prisons and jails… each collects its own data, resulting in thousands of different databases, and none of them talk to each other.” These systemic communication and organizational issues not only have a negative impact on the institutions themselves, but the incarcerated individuals seeking to improve their circumstances. Recidiviz sees these issues as ones which technology can play a vital role in solving. Jacoby describes, “(Corrections directors) don’t have the information they need to confidently chart a course forward or to see which of their efforts are or aren’t working.”people.",0.23,1767,770026,1542,29357,3.6,11
